userId,surveyType,Anger-Ag,Wanting-Dr,Dread-Ax,Sad-S,Easygoing-R,Grossed-Out-Dg,Happy-H,Terror-F,Rage-Ag,Grief-S,Nausea-Dg,Anxiety-Ax,Chilled-Out-R,Desire-Dr,Nervous-Ax,Lonely-S,Scared-F,Mad-Ag,Satisfaction-H,Sickened-Dg,Empty-S,Craving-Dr,Panic-F,Longing-Dr,Calm-R,Fear-F,Relaxation-R,Revulsion-Dg,Worry-Ax,Enjoyment-H,Pissed-Off-Ag,Linking-H,username,userGroup,userLoginTime,surveyTime
2438klw6jb47,deq,1,2,1,1,5,1,5,1,1,1,2,2,4,1,1,2,1,1,3,1,1,1,1,2,5,1,5,1,4,5,1,4,drawn79042,Keyboard,2021-03-05-21-27-00,2021-03-06-21-01-32
ex608klu4dk0t,deq,2,6,2,6,1,1,2,2,1,5,2,2,2,5,2,Quite a bit,4,3,2,1,5,4,2,5,2,3,2,1,4,2,2,3,agree33458,Keyboard,2021-03-04-10-54-35,2021-03-07-20-03-10
2438klw6jb47,deq,1,1,1,1,5,1,6,1,1,1,1,1,6,4,1,1,1,1,3,1,1,1,1,1,6,1,5,1,2,5,1,5,drawn79042,Keyboard,2021-03-05-21-27-00,2021-03-07-20-47-56
ex608klvu6o2d,deq,1,1,1,1,6,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,7,1,1,7,1,7,president21634,Frank,2021-03-05-15-45-32,2021-03-07-20-49-22
ex608kltw99ag,deq,3,2,1,1,6,1,5,1,2,1,1,1,6,6,1,1,1,2,5,1,,1,1,4,5,1,5,1,1,6,2,7,duty36851,Frank,2021-03-04-07-03-10,2021-03-07-21-53-34
2438kltf4849,deq,2,4,2,3,2,1,2,3,2,3,,4,2,4,4,Quite a bit,3,3,2,3,5,3,2,4,2,2,2,1,3,2,4,2,herself57276,FrankKeyboard,2021-03-03-23-07-25,2021-03-08-20-04-11
ex608klu4dk0t,deq,2,5,2,5,2,1,2,3,1,6,1,2,2,6,1,4,4,2,3,1,5,5,2,6,3,4,2,1,3,2,2,3,agree33458,Keyboard,2021-03-04-10-54-35,2021-03-08-20-13-07
2438klzrhqty,deq,1,1,1,1,6,1,6,1,1,1,1,2,5,4,2,2,1,1,5,1,1,1,1,2,6,1,5,1,2,6,1,5,blank09928,FrankKeyboard,2021-03-08-09-37-33,2021-03-08-20-28-38
ex608km0eeo50,deq,3,3,1,2,,1,3,1,1,1,1,2,2,3,1,2,1,3,2,1,1,2,2,3,3,1,3,1,2,3,3,2,fun53183,Frank,2021-03-08-20-18-49,2021-03-08-21-05-33
ex608km02zyb9,deq,1,2,1,1,6,1,5,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,5,1,5,1,1,4,1,5,war26399,Frank,2021-03-08-14-58-09,2021-03-08-21-08-14
ex608kltrklaa,deq,2,3,7,2,2,1,2,3,3,3,3,7,3,1,6,2,2,1,1,1,3,1,4,2,1,3,2,1,7,2,3,1,mostly53427,Frank,2021-03-04-04-53-40,2021-03-08-21-18-28
ex608klvu6o2d,deq,1,1,1,1,7,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,7,1,1,7,1,7,president21634,Frank,2021-03-05-15-45-32,2021-03-08-21-19-19
ex608kltw99ag,deq,2,3,1,2,5,2,6,1,2,1,1,1,5,7,2,1,1,2,5,1,1,4,1,5,5,1,5,1,2,5,2,5,duty36851,Frank,2021-03-04-07-03-10,2021-03-08-21-46-40
2438klw6jb47,deq,1,1,1,1,5,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,2,5,1,2,drawn79042,Keyboard,2021-03-05-21-27-00,2021-03-08-21-48-41
ex608km037eab,deq,4,5,3,5,2,2,3,1,2,5,1,3,2,2,2,4,3,4,4,1,2,2,2,3,2,5,4,1,6,4,5,2,develop25784,Frank,2021-03-08-15-03-29,2021-03-08-21-48-45
2438km1fbkkx,deq,1,2,1,1,5,1,6,1,1,1,1,1,4,2,1,1,1,1,6,2,1,3,1,2,5,1,4,1,2,5,2,5,broke21454,Frank,2021-03-09-13-51-12,2021-03-09-20-05-28
2438km0ibqqk,deq,2,1,2,3,4,1,4,1,1,2,2,3,3,1,2,1,2,3,4,1,2,1,1,1,3,2,4,1,3,4,2,4,similar42937,Frank,2021-03-08-22-11-15,2021-03-09-20-30-01
2438kltf4849,deq,2,5,3,4,3,1,2,1,2,3,2,3,1,4,4,Quite a bit,3,3,2,2,5,2,2,4,2,3,1,1,4,2,4,3,herself57276,FrankKeyboard,2021-03-03-23-07-25,2021-03-09-20-51-50
ex608klu4dk0t,deq,2,5,2,4,2,1,3,1,1,5,1,3,2,4,4,Quite a bit,4,3,3,1,5,5,2,6,2,4,2,1,3,2,2,4,agree33458,Keyboard,2021-03-04-10-54-35,2021-03-09-21-21-14
2438km1w9zd5,deq,2,1,1,1,6,1,5,1,2,1,1,2,5,1,1,1,1,3,5,1,1,1,1,1,6,1,4,1,3,5,1,4,became55307,Frank,2021-03-09-21-28-18,2021-03-09-21-30-38
ex608km02zyb9,deq,1,2,1,1,6,1,3,1,1,1,1,2,5,2,1,1,1,1,4,1,1,2,1,1,6,1,4,1,1,3,1,4,war26399,Frank,2021-03-08-14-58-09,2021-03-09-21-48-26
ex608km37j63r,deq,3,2,3,2,3,2,4,1,1,1,1,3,2,2,2,2,1,1,2,1,2,3,1,2,3,1,2,1,3,3,2,2,reader26859,Frank,2021-03-10-19-37-08,2021-03-10-20-36-20
